Key,Value
"설명 의무 금소법상 설명서 필수 사항 설명-위험등급 이유, 의미, 유의사항","국내 상장주식 및 코스닥 주식, 주식관련 집합투자증권 등 고위험자산에 주로 투자하는 점과 사모펀드의 성격을 종합적으로 감안하여 1등급으로 분류되었습니다. 이는 투자원금 전액 손실이 발생할 수 있으며 매우 높은 투자수익을 기대할 수 있는 상품입니다."
설명 의무 금소법상 설명서 필수 사항 설명-계약기간,신탁계약 기간은 2026년 4월 10일부터 2029년 4월 9일까지 약 36개월(최소 설정일로부터 약 36개월)입니다.
설명 의무 금소법상 설명서 필수 사항 설명-금융상품의 구조,"본 상품은 반도체 및 코스닥 관련 기업의 국내 상장주식 및 주식관련 집합투자증권에 직접 투자하는 구조로, AI 수혜 예상 기업, 코스닥 핵심 성장주에 집중 투자합니다."
설명 의무 금소법상 설명서 필수 사항 설명-기대수익,"손익분기점 이상 달성 시 1종 펀드 기준 예상수익률은 약 17.7%(연 기준 약 5.5%)이며, 최악의 시나리오에서 투자금의 100% 손실이 발생할 수 있습니다."
설명 의무 금소법상 설명서 필수 사항 설명-만기전 계약종료 요건,"신탁계약 중도 해약 시 해약가격에 따라 손실이 발생할 수 있으며, 환매는 연 2회 이하로 제한됩니다(분기별 1회)."
설명 의무 금소법상 설명서 필수 사항 설명-금융소비자가 부담하는 수수료,"1종 펀드 납입금액의 [0.50]%, 2종은 해당사항 없음. 운용 보수: 1종은 연 1.47%(운용회사 0.40%, 판매회사 1.00%, 신탁임자 0.04%, 사무관리 0.03%), 2종은 연 0.48%(운용회사 0.40%, 판매회사 0.01%, 신탁임자 0.04%, 사무관리 0.03%)."
"설명 의무 금소법상 설명서 필수 사항 설명-계약의 해지, 해제","신탁계약의 중도 해약은 분기마다 가능하며(연 2회 이하), 해약가격은 기준가에서 환매수수료를 차감한 가격입니다. 해약 시 손실이 발생할 수 있습니다."
설명 의무 금소법상 설명서 필수 사항 설명-증권의 환매 및 매매,사모펀드로서 공모펀드와 달리 증권거래소 상장이 없으므로 증권의 매매가 제한됩니다.
설명 의무 금소법상 설명서 필수 사항 설명-위법계약해지권,해당 내용이 설명서에 명시되어 있지 않습니다.
설명 의무 금소법상 설명서 필수 사항 설명-자료열람요구권,"분쟁조정 또는 소송의 수행 등 권리구제를 위한 목적으로 회사가 기록 및 유지, 관리하는 자료의 열람을 요구할 수 있으며 요구하시는날로부터 6영업일 이내에 열람할 수 있도록 하고 있습니다."
설명 의무 금소법상 설명서 필수 사항 설명-청약철회의 기한 및 행사방법,이 상품은 금융소비자의 권리 중 청약철회권을 행사할 수 있는 대상 상품이 아닙니다.
설명 의무 금소법상 설명서 필수 사항 설명-민원처리 및 분쟁조정 절차,"당사에 민원을 신청하시면, 당사 민원전담 부서에서 해당 사실을 조사 후 관련 답변을 회신드립니다. 이를 수용 시 민법 상 화해 계약이 성립되며 종료되고, 외부기관(금융감시위원회, 한국레스딩협회 등)에 분쟁조정을 신청하시면 사실조사를 거쳐 조정안을 제시 받고, 양 당사자간 수용여부를 결정 한 후, 수용 시 민법상 화해 계약이 성립하게 됩니다."
설명 의무 금소법상 설명서 필수 사항 설명-「예금자보호법」 등 다른 법률에 따른 보호 여부,"이 상품은 투자원금의 일부 또는 전부에 대한 손실이 발생할 수 있으며, 투자로 인한 손실은 투자자 본인에게 귀속 됩니다. 이 상품은 예금자보호법에 따라 보호되지 않습니다."
"설명 의무 금소법상 설명서 필수 사항 설명-연계제휴서비스, 사후관리 등",상품을 가입하시면 분기마다 자산운용보고서가 발송됩니다. 연계제휴 서비스로는 별도로 제공되는 서비스가 없습니다.
설명 의무 금소법상 설명서 필수 사항 설명-기타 약관상 주요 내용,"본 상품은 사모펀드로서 공모펀드와 달리 투자자 수 제한(100인 이하, 일반투자자 49인 이하), 높은 최소투자금(3억원 이상 일반투자자 기준), 제한된 환매(연 2회 이하), 높은 수수료 등의 특성을 가지고 있습니다. 또한 증권신고 제출의무가 없으므로 공모펀드 대비 공시 정보가 제한적일 수 있습니다."
설명 의무 금소법상 설명서 필수 사항 설명-외화증권 등에 대한 설명의무 특칙,본 상품은 국내 상장주식 및 코스닥 주식에 투자하므로 외화증권에 대한 특별 설명의무 특칙은 해당되지 않습니다.
